,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,2A,2B
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99,49,29,72,72,72,99,93,12,93,25,12,72,50,29,67,67,294,54,63,45,54,38,5,99,25,294,45,25,12,12,38,25,45,294,294,99,5,38,294,99,29,48,294,12,38,25,48,50,93,93,48,28,28,45,28,63,191,49,50,191,29,38,12,25,46,46,99,5,63,48,99,99,603,25,603,603,67,49,12,12,72,72,48,67,54,28,63,5,603,603,603,603,603,,
3,,32,40,4,4,4,,,13,,18,13,4,20,40,32,32,,29,35,35,29,18,35,,32,,35,18,13,13,18,18,35,,,,35,18,,,40,3,,13,18,18,3,20,,,3,,,35,,35,100,32,20,100,40,18,13,18,9,9,,35,35,3,,,,32,,,32,32,13,13,4,4,3,32,29,,35,35,,,,,,20,20
4,99,,,37,37,37,99,30,8,30,9,8,37,8,,12,12,16,,4,21,,11,8,99,18,16,21,9,8,8,11,9,21,16,16,99,8,11,16,99,,67,16,8,11,9,67,8,30,30,67,37,37,21,37,4,42,,8,42,,11,8,9,81,81,99,8,4,67,99,99,68,18,68,68,12,,8,8,37,37,67,12,,37,4,8,68,68,68,68,68,,
5,29,24,,13,13,13,29,6,5,6,5,5,13,28,,37,37,15,,26,22,,48,,29,57,15,22,5,5,5,48,5,22,15,15,29,,48,15,29,,27,15,5,48,5,27,28,6,6,27,14,14,22,14,26,9,24,28,9,,48,5,5,23,23,29,,26,27,29,29,41,57,41,41,37,24,5,5,13,13,27,37,,14,26,,41,41,41,41,41,,
6,5,33,23,,,,5,4,25,4,23,25,,29,23,41,41,35,23,31,53,23,15,24,5,19,35,53,23,25,25,15,23,53,35,35,5,24,15,35,5,23,10,35,25,15,23,10,29,4,4,10,3,3,53,3,31,64,33,29,64,23,15,25,23,,,5,24,31,10,5,5,68,19,68,68,41,33,25,25,,,10,41,23,3,31,24,68,68,68,68,68,19,19
7,160,120,101,162,162,162,160,40,99,40,148,99,162,89,101,109,109,16,43,93,230,43,51,112,160,34,16,230,148,99,99,51,148,230,16,16,160,112,51,16,160,101,119,16,99,51,148,119,89,40,40,119,91,91,230,91,93,481,120,89,481,101,51,99,148,160,160,160,112,93,119,160,160,20,34,20,20,109,120,99,99,162,162,119,109,43,91,93,112,20,20,20,20,20,41,41
8,193,51,93,58,58,58,193,39,76,39,84,76,58,51,93,57,57,24,31,48,129,31,119,98,193,60,24,129,84,76,76,119,84,129,24,24,193,98,119,24,193,93,63,24,76,119,84,63,51,39,39,63,78,78,129,78,48,288,51,51,288,93,119,76,84,95,95,193,98,48,63,193,193,199,60,199,199,57,51,76,76,58,58,63,57,31,78,48,98,199,199,199,199,199,29,29
9,27,73,12,129,129,129,27,33,12,33,,12,129,32,12,37,37,87,5,41,24,5,75,5,27,79,87,24,,12,12,75,,24,87,87,27,5,75,87,27,12,92,87,12,75,,92,32,33,33,92,57,57,24,57,41,51,73,32,51,12,75,12,,120,120,27,5,41,92,27,27,216,79,216,216,37,73,12,12,129,129,92,37,5,57,41,5,216,216,216,216,216,,
10,86,19,22,29,29,29,86,20,43,20,42,43,29,,22,5,5,13,,7,46,,,17,86,,13,46,42,43,43,,42,46,13,13,86,17,,13,86,22,56,13,43,,42,56,,20,20,56,30,30,46,30,7,88,19,,88,22,,43,42,58,58,86,17,7,56,86,86,34,,34,34,5,19,43,43,29,29,56,5,,30,7,17,34,34,34,34,34,,
11,53,182,5,59,59,59,53,19,5,19,2,5,59,106,5,93,93,3,48,117,6,48,28,8,53,59,3,6,2,5,5,28,2,6,3,3,53,8,28,3,53,5,43,3,5,28,2,43,106,19,19,43,46,46,6,46,117,27,182,106,27,5,28,5,2,74,74,53,8,117,43,53,53,9,59,9,9,93,182,5,5,59,59,43,93,48,46,117,8,9,9,9,9,9,28,28
12,382,28,125,132,132,132,382,131,93,131,96,93,132,22,125,17,17,59,6,21,114,6,53,159,382,47,59,114,96,93,93,53,96,114,59,59,382,159,53,59,382,125,208,59,93,53,96,208,22,131,131,208,140,140,114,140,21,373,28,22,373,125,53,93,96,232,232,382,159,21,208,382,382,72,47,72,72,17,28,93,93,132,132,208,17,6,140,21,159,72,72,72,72,72,,
13,37,53,11,28,28,28,37,5,10,5,11,10,28,33,11,35,35,7,14,36,14,14,130,8,37,234,7,14,11,10,10,130,11,14,7,7,37,8,130,7,37,11,21,7,10,130,11,21,33,5,5,21,13,13,14,13,36,31,53,33,31,11,130,10,11,28,28,37,8,36,21,37,37,11,234,11,11,35,53,10,10,28,28,21,35,14,13,36,8,11,11,11,11,11,6,6
14,13,29,33,8,8,8,13,5,38,5,40,38,8,,33,12,12,77,11,21,68,11,11,28,13,,77,68,40,38,38,11,40,68,77,77,13,28,11,77,13,33,3,77,38,11,40,3,,5,5,3,12,12,68,12,21,177,29,,177,33,11,38,40,15,15,13,28,21,3,13,13,153,,153,153,12,29,38,38,8,8,3,12,11,12,21,28,153,153,153,153,153,,
15,17,8,13,12,12,12,17,8,12,8,16,12,12,11,13,12,12,6,8,12,17,8,15,9,17,10,6,17,16,12,12,15,16,17,6,6,17,9,15,6,17,13,13,6,12,15,16,13,11,8,8,13,9,9,17,9,12,19,8,11,19,13,15,12,16,26,26,17,9,12,13,17,17,5,10,5,5,12,8,12,12,12,12,13,12,8,9,12,9,5,5,5,5,5,7,7
16,15,34,,8,8,8,15,18,,18,,,8,21,,18,18,3,11,23,,11,62,4,15,,3,,,,,62,,,3,3,15,4,62,3,15,,13,3,,62,,13,21,18,18,13,22,22,,22,23,34,34,21,34,,62,,,,,15,4,23,13,15,15,17,,17,17,18,34,,,8,8,13,18,11,22,23,4,17,17,17,17,17,13,13
17,15,1 786,14,15,15,15,15,5,18,5,22,18,15,,14,,,47,,,32,,19,14,15,35,47,32,22,18,18,19,22,32,47,47,15,14,19,47,15,14,,47,18,19,22,,,5,5,,,,32,,,94,1 786,,94,14,19,18,22,18,18,15,14,,,15,15,68,35,68,68,,1 786,18,18,15,15,,,,,,14,68,68,68,68,68,,
18,38,424,1 082,43,43,43,38,10,1 207,10,1 916,1 207,43,2 147,1 082,2 062,2 062,1 420,1 081,1 721,2 522,1 081,143,1 216,38,209,1 420,2 522,1 916,1 207,1 207,143,1 916,2 522,1 420,1 420,38,1 216,143,1 420,38,1 082,32,1 420,1 207,143,1 916,32,2 147,10,10,32,34,34,2 522,34,1 721,3 997,424,2 147,3 997,1 082,143,1 207,1 916,46,46,38,1 216,1 721,32,38,38,4 525,209,4 525,4 525,2 062,424,1 207,1 207,43,43,32,2 062,1 081,34,1 721,1 216,4 525,4 525,4 525,4 525,4 525,1 329,1 329
19,978,306,939,1 094,1 094,1 094,978,281,1 067,281,1 795,1 067,1 094,203,939,224,224,1 617,113,225,2 324,113,562,154,978,610,1 617,2 324,1 795,1 067,1 067,562,1 795,2 324,1 617,1 617,978,154,562,1 617,978,939,614,1 617,1 067,562,1 795,614,203,281,281,614,426,426,2 324,426,225,4 326,306,203,4 326,939,562,1 067,1 795,1 350,1 350,978,154,225,614,978,978,7 354,610,7 354,7 354,224,306,1 067,1 067,1 094,1 094,614,224,113,426,225,154,7 354,7 354,7 354,7 354,7 354,146,146
20,3,,,,,,3,,,,,,,20,,22,22,226,,21,,,311,,3,392,226,,,,,311,,,226,226,3,,311,226,3,,5,226,,311,,5,20,,,5,,,,,21,,,20,,,311,,,,,3,,21,5,3,3,1 039,392,1 039,1 039,22,,,,,,5,22,,,21,,1 039,1 039,1 039,1 039,1 039,19,19
21,1 602,15,19,2 226,2 226,2 226,1 602,417,125,417,194,125,2 226,20,19,19,19,719,13,19,202,13,341,9,1 602,199,719,202,194,125,125,341,194,202,719,719,1 602,9,341,719,1 602,19,1 179,719,125,341,194,1 179,20,417,417,1 179,812,812,202,812,19,497,15,20,497,19,341,125,194,1 680,1 680,1 602,9,19,1 179,1 602,1 602,3 663,199,3 663,3 663,19,15,125,125,2 226,2 226,1 179,19,13,812,19,9,3 663,3 663,3 663,3 663,3 663,12,12
22,205,223,97,220,220,220,205,29,81,29,122,81,220,153,97,148,148,35,81,133,127,81,44,96,205,26,35,127,122,81,81,44,122,127,35,35,205,96,44,35,205,97,117,35,81,44,122,117,153,29,29,117,68,68,127,68,133,344,223,153,344,97,44,81,122,172,172,205,96,133,117,205,205,1 012,26,1 012,1 012,148,223,81,81,220,220,117,148,81,68,133,96,1 012,1 012,1 012,1 012,1 012,52,52
23,28,195,64,37,37,37,28,4,89,4,121,89,37,105,64,99,99,,61,87,175,61,99,65,28,95,,175,121,89,89,99,121,175,,,28,65,99,,28,64,16,,89,99,121,16,105,4,4,16,10,10,175,10,87,436,195,105,436,64,99,89,121,20,20,28,65,87,16,28,28,86,95,86,86,99,195,89,89,37,37,16,99,61,10,87,65,86,86,86,86,86,31,31
24,371,947,203,418,418,418,371,134,252,134,491,252,418,317,203,372,372,54,141,288,440,141,180,162,371,186,54,440,491,252,252,180,491,440,54,54,371,162,180,54,371,203,280,54,252,180,491,280,317,134,134,280,228,228,440,228,288,1 054,947,317,1 054,203,180,252,491,335,335,371,162,288,280,371,371,991,186,991,991,372,947,252,252,418,418,280,372,141,228,288,162,991,991,991,991,991,271,271
25,412,229,444,763,763,763,412,93,163,93,370,163,763,655,444,620,620,91,336,558,265,336,164,386,412,169,91,265,370,163,163,164,370,265,91,91,412,386,164,91,412,444,268,91,163,164,370,268,655,93,93,268,159,159,265,159,558,619,229,655,619,444,164,163,370,367,367,412,386,558,268,412,412,395,169,395,395,620,229,163,163,763,763,268,620,336,159,558,386,395,395,395,395,395,317,317
26,1 737,185,94,1 897,1 897,1 897,1 737,414,182,414,299,182,1 897,175,94,157,157,143,62,142,294,62,345,99,1 737,291,143,294,299,182,182,345,299,294,143,143,1 737,99,345,143,1 737,94,1 148,143,182,345,299,1 148,175,414,414,1 148,690,690,294,690,142,710,185,175,710,94,345,182,299,1 658,1 658,1 737,99,142,1 148,1 737,1 737,1 150,291,1 150,1 150,157,185,182,182,1 897,1 897,1 148,157,62,690,142,99,1 150,1 150,1 150,1 150,1 150,56,56
